iter	Accuracy	MultiClass
266	0.9892761394	0.2268999048
267	0.9892761394	0.2264792615
268	0.9883824844	0.2259066015
269	0.9892761394	0.2250751681
270	0.9901697945	0.2237354039
271	0.9901697945	0.2226279175
272	0.9901697945	0.2217539175
273	0.9901697945	0.220840614
274	0.9901697945	0.220156346
275	0.9910634495	0.2192722476
276	0.9910634495	0.2185144414
277	0.9910634495	0.2179361982
278	0.9910634495	0.2172142206
279	0.9910634495	0.2166977413
280	0.9910634495	0.2158637901
281	0.9919571046	0.2149005404
282	0.9919571046	0.2139353901
283	0.9919571046	0.2128039473
284	0.9937444147	0.2115740313
285	0.9937444147	0.2110347315
286	0.9928507596	0.2103106454
287	0.9946380697	0.2089675258
288	0.9937444147	0.2081422027
289	0.9946380697	0.207427443
290	0.9946380697	0.2065696577
291	0.9946380697	0.2058538713
292	0.9946380697	0.2046751827
293	0.9946380697	0.2035152178
294	0.9955317248	0.2024305247
295	0.9955317248	0.2017724863
296	0.9955317248	0.2008027252
297	0.9955317248	0.2003730202
298	0.9955317248	0.199308664
299	0.9955317248	0.1981773081
300	0.9955317248	0.1973994896
301	0.9955317248	0.1964215583
302	0.9955317248	0.1959351197
303	0.9955317248	0.1951283851
304	0.9955317248	0.1940932508
305	0.9955317248	0.1935164277
306	0.9955317248	0.1931908322
307	0.9955317248	0.1924269961
308	0.9955317248	0.1918103638
309	0.9955317248	0.1912938951
310	0.9955317248	0.1905719953
311	0.9955317248	0.1900432196
312	0.9955317248	0.1892145931
313	0.9955317248	0.1883237424
314	0.9964253798	0.1873230756
315	0.9955317248	0.1864712433
316	0.9964253798	0.1858763627
317	0.9964253798	0.1855019255
318	0.9964253798	0.1848502225
319	0.9964253798	0.1841370964
320	0.9964253798	0.1834384448
321	0.9964253798	0.1831582287
322	0.9973190349	0.1823126256
323	0.9973190349	0.1815408931
324	0.9973190349	0.1807504408
325	0.9973190349	0.1802000093
326	0.9973190349	0.178969283
327	0.9973190349	0.1787322659
328	0.9973190349	0.1782653778
329	0.9973190349	0.1775500142
330	0.9973190349	0.1770341144
331	0.9973190349	0.1758938742
332	0.9973190349	0.1754898502
333	0.9982126899	0.1750162109
334	0.999106345	0.1743314332
335	0.999106345	0.1737110951
336	0.9982126899	0.1735472907
337	0.9982126899	0.1728175395
338	0.9982126899	0.172206653
339	0.9982126899	0.1714681159
340	0.9982126899	0.1710097024
341	0.9982126899	0.1703543126
342	0.9982126899	0.1698043771
343	0.9982126899	0.169145962
344	0.9982126899	0.168365838
345	0.9982126899	0.1677987145
346	0.9982126899	0.1672919622
347	0.999106345	0.1666203636
348	0.999106345	0.1662240961
349	0.999106345	0.1654997047
350	0.999106345	0.1647144719
351	0.999106345	0.1643279444
352	0.999106345	0.1637221459
353	0.999106345	0.1633393806
354	0.999106345	0.1626684863
355	0.999106345	0.1623401228
356	0.999106345	0.1619762281
357	0.999106345	0.1614944077
358	0.999106345	0.1606804338
359	0.999106345	0.1602926823
360	0.999106345	0.1597766135
361	0.999106345	0.1593887301
362	0.999106345	0.1589695699
363	0.999106345	0.1584142569
364	0.999106345	0.1581445806
365	0.999106345	0.1574465031
366	0.999106345	0.1569477628
367	0.999106345	0.156516803
368	0.999106345	0.1561631741
369	0.999106345	0.155754201
370	0.999106345	0.1552941664
371	0.999106345	0.1548352701
372	0.999106345	0.1542664296
373	0.999106345	0.1533721352
374	0.999106345	0.1528587071
375	0.999106345	0.1525566199
376	0.999106345	0.1519628968
377	0.999106345	0.1515063537
378	1	0.150987599
379	1	0.1507514462
380	1	0.1503942423
381	1	0.1497934405
382	1	0.1493720846
383	1	0.1488350425
384	1	0.1481988292
385	1	0.1476416959
386	1	0.1472641433
387	1	0.1469181836
388	1	0.1465322987
389	1	0.1460368108
390	1	0.1455466644
391	1	0.1452132551
392	1	0.144941576
393	1	0.1444580197
394	1	0.1440648272
395	1	0.1434364693
396	1	0.143000515
397	1	0.1423483962
398	1	0.1416809953
399	1	0.1413137584
400	1	0.1406612554
401	1	0.1401981963
402	1	0.1395417169
403	1	0.1393078152
404	1	0.1389923575
405	1	0.1387868023
406	1	0.1381557139
407	1	0.1377961498
408	1	0.1375014551
409	1	0.1370747463
410	1	0.1366484498
411	1	0.1364392464
412	1	0.1362614528
413	1	0.1358334622
414	1	0.1353458953
415	1	0.1350348997
416	1	0.1344832284
417	1	0.1340732813
418	1	0.1337818521
419	1	0.1333036398
420	1	0.1330834202
421	1	0.132508589
422	1	0.1321241017
423	1	0.1319269986
424	1	0.1312432253
425	1	0.1307827706
426	1	0.1301114418
427	1	0.1297161716
428	1	0.1294642112
429	1	0.129076007
430	1	0.128586782
431	1	0.1280876094
432	1	0.1279498276
433	1	0.1274597112
434	1	0.1270355271
435	1	0.1266933754
436	1	0.1262733709
437	1	0.1257866773
438	1	0.1253692767
439	1	0.1251379318
440	1	0.1249809115
441	1	0.1245919646
442	1	0.1243430787
443	1	0.1242015858
444	1	0.1239770779
445	1	0.123347419
446	1	0.1230594579
447	1	0.1228448884
448	1	0.1223306195
449	1	0.1219117737
450	1	0.1217219696
451	1	0.1214511624
452	1	0.1211323046
453	1	0.1205555514
454	1	0.120020141
455	1	0.1196078319
456	1	0.1193182486
457	1	0.1190356469
458	1	0.1186987373
459	1	0.1183098009
460	1	0.1178306648
461	1	0.1174679742
462	1	0.1171220107
463	1	0.1166971929
464	1	0.1162394327
465	1	0.1159149187
466	1	0.1157239143
467	1	0.1154394729
468	1	0.1151616583
469	1	0.1148373841
470	1	0.1145642253
471	1	0.1142673178
472	1	0.1141106593
473	1	0.1139232465
474	1	0.1137584736
475	1	0.113462508
476	1	0.1130358507
477	1	0.1126201133
